category	function
category02	go:0003887 - DNA-directed DNA polymerase activity; phi:0000026 - phage DNA replication
category08	phi:0000340 - cell wall degrading amidase activity; phi:0000013 - phage release by lysis
category06	RNA methyltransferase
category02	probable exoribonuclease II
category03	go:0016887 - ATPase activity; go:0008233 - peptidase activity
category10	putative transcriptional regulator
category16	phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I
category16	putative membrane protein, probably involved in acetylating a cell surface saccharide
category01	aclame:function:509 - IS256 family; phi:0000136 - transpositional DNA recombination; phi:0000153 - DDE-based recombinase activity
category01	aclame:function:509 - IS256 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
category02	go:0004003 - ATP-dependent DNA helicase activity
category16	ATP-dependent protease ATP-binding subunit
category06	go:0006164 - purine nucleotide biosynthetic process
category16	6-phosphofructokinase
category09	phi:0000086 - phage tail tape measure protein; phi:0000015 - phage tail assembly
category16	phage-like protein
category03	Beta-glucosidase
category16	phi:0000019 - phage DNA maturation; phi:0000073 - phage terminase large subunit
category01	aclame:function:506 - IS605 family; phi:0000136 - transpositional DNA recombination
category01	aclame:function:505 - IS30 family; phi:0000136 - transpositional DNA recombination; phi:0000153 - DDE-based recombinase activity
category01	aclame:function:505 - IS30 family; phi:0000153 - DDE-based recombinase activity
category01	phi:0000153 - DDE-based recombinase activity; aclame:function:505 - IS30 family
category08	phi:0000013 - phage release by lysis; phi:0000103 - endolysin activity
category03	DegT/DnrJ/EryC1/StrS aminotransferase
category02	phi:0000114 - DNA helicase activity
category07	chaperonin GroEL
category02	phi:0000114 - DNA helicase activity; phi:0000268 - plasmid vegetative DNA replication
category09	phi:0000175 - capsid tail fiber
category16	ornithine carbamoyltransferase
category02	go:0003678 - DNA helicase activity; phi:0000026 - phage DNA replication
category07	phi:0000317 - relaxase activity; phi:0000271 - intercellular transfer by conjugation
category01	conserved hypothetical protein found in conjugate transposon TraK
category16	Patatin
category01	IS3-family transposase, OrfA
category06	go:0004748 - ribonucleoside-diphosphate reductase activity
category03	go:0004644 - phosphoribosylglycinamide formyltransferase activity
category10	go:0016564 - transcription repressor activity
category02	go:0003677 - DNA binding
category02	go:0008409 - 5'-3' exonuclease activity
category03	go:0008836 - diaminopimelate decarboxylase activity
category01	phi:0000136 - transpositional DNA recombination; aclame:function:540 - ISL3 family; phi:0000153 - DDE-based recombinase activity
category03	Phosphopyruvate hydratase
category16	go:0007059 - chromosome segregation; go:0015616 - DNA translocase activity
category04	go:0051035 - DNA transmembrane transporter activity; phi:0000354 - genome segregation
category06	CTP synthase
category06	phi:0000264 - nucleoid associated protein
category16	endonuclease III
category16	5'-Nucleotidase-like
category06	go:0016779 - nucleotidyltransferase activity
category10	go:0016987 - sigma factor activity; phi:0000044 - transcriptional-regulation of phage gene expression
category10	phi:0000044 - transcriptional-regulation of phage gene expression; go:0016987 - sigma factor activity
category06	go:0004530 - deoxyribonuclease I activity
category06	go:0003938 - IMP dehydrogenase activity
category02	phi:0000114 - DNA helicase activity; go:0006281 - DNA repair
category06	methionine--tRNA ligase
category03	choloylglycine hydrolase
category16	hyphotheical protein
category16	Superfamily I DNA and RNA helicases and helicase subunits-like protein
category10	go:0003700 - transcription factor activity
category16	go:0008745 - N-acetylmuramoyl-L-alanine amidase activity
category10	phi:0000044 - transcriptional-regulation of phage gene expression
category06	phenylalanyl-tRNA synthetase, beta subunit
category16	florfenicol/chloramphenicol resistance protein
category16	go:0034061 - DNA polymerase activity
category02	go:0045020 - error-prone DNA repair; go:0003887 - DNA-directed DNA polymerase activity
category16	CysS
category02	go:0006270 - DNA replication initiation
category02	go:0030337 - DNA polymerase processivity factor activity
category06	go:0004799 - thymidylate synthase activity
category16	anthranilate synthase component I
category06	arginyl-tRNA synthetase
category16	go:0016407 - acetyltransferase activity
category16	gp8
category06	probable asparaginyl-tRNA synthetase
category16	DegV family protein
category06	go:0008251 - tRNA-specific adenosine deaminase activity
category09	phi:0000178 - phage minor tail protein
category06	go:0004748 - ribonucleoside-diphosphate reductase activity; go:0046123 - purine deoxyribonucleoside biosynthetic process
category05	go:0004672 - protein kinase activity; go:0045449 - regulation of transcription; go:0000160 - two-component signal transduction system (phosphorelay)
category10	phi:0000057 - maintenance of prophage immunity; go:0016564 - transcription repressor activity
category03	go:0004674 - protein serine/threonine kinase activity
category09	phi:0000012 - phage head tail joining; phi:0000068 - phage portal protein
category01	phi:0000144 - serine-based recombinase activity; phi:0000330 - site-specific DNA inversion; phi:0000056 - prophage DNA integration
category01	phi:0000144 - serine-based recombinase activity; phi:0000134 - site-specific DNA excision
category16	dTDP-4-dehydrorhamnose reductase
category16	go:0003697 - single-stranded DNA binding
category16	go:0004291 - subtilisin activity
category16	metallophosphoesterase
category16	Glycosyltransferase 28, C-terminal domain
category16	go:0006796 - phosphate metabolic process
category16	phage protein
category06	go:0008998 - ribonucleoside-triphosphate reductase activity
category16	go:0009290 - DNA import into cell during transformation
category16	gp61
category09	phi:0000082 - phage major tail protein
category16	helicase domain protein
category16	probable GlyA2 serine hydroxymethyltransferase, SHMT
category16	putative N-terminus of a pectate lyase, probably truncated due to chromosomal poin mutation or sequencing artefact protein
category02	go:0004527 - exonuclease activity
category16	gpA
category16	alanine racemase
category16	excinuclease ABC subunit B
category16	endopeptidase
category16	transmembrane protein, putative
category16	adenylosuccinate synthetase
category16	go:0004091 - carboxylesterase activity
category16	Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase
category16	phi:0000193 - restriction alleviation
category16	peptide chain release factor 2
category08	lytic transglycosylase catalytic
category02	go:0006270 - DNA replication initiation; phi:0000026 - phage DNA replication; go:0003677 - DNA binding
category02	phi:0000026 - phage DNA replication; go:0003677 - DNA binding
category02	phi:0000026 - phage DNA replication; go:0006270 - DNA replication initiation; go:0003677 - DNA binding
category16	go:0006790 - sulfur metabolic process
category16	3-dehydroquinate synthase
category16	Exodeoxyribonuclease VII
category16	phosphoribosylaminoimidazole synthetase
category02	go:0043845 - DNA polymerase III, proofreading complex; phi:0000026 - phage DNA replication
category12	go:0016152 - mercury (II) reductase activity; go:0050787 - detoxification of mercury ion
category03	glycosy hydrolase family protein
category16	Sua5/YciO/YrdC/YwlC
category06	phi:0000088 - phage base plate protein
category16	NusG antitermination factor
category16	UDP-galactopyranose mutase
category16	go:0016987 - sigma factor activity
category16	chorismate synthase
category16	go:0008889 - glycerophosphodiester phosphodiesterase activity
category08	phi:0000013 - phage release by lysis
category16	similar to Bacillus subtilis YpsA
category16	conserved hypothetical protein
category10	transcriptional regulator, Sir2 family
category16	structural protein
category02	go:0006270 - DNA replication initiation; go:0003896 - DNA primase activity
category01	aclame:function:503 - Tn3 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
category16	Glycerate kinase
category16	go:0004791 - thioredoxin-disulfide reductase activity; phi:0000192 - thioredoxin
category16	ORF014
category10	go:0016564 - transcription repressor activity; phi:0000048 - negative transcriptional regulation of phage gene expression
category16	glutamine amidotransferase class-I
category16	DNA helicase
category16	LPXTG-motif cell wall anchor domain protein
category16	excinuclease ABC, A subunit
category12	phi:0000262 - toxin; phi:0000322 - post-segregational killing; aclame:function:546 - TA family mazEF
category16	Nicotinate phosphoribosyltransferase
category16	go:0006935 - chemotaxis
category16	phi:0000073 - phage terminase large subunit; phi:0000019 - phage DNA maturation
category03	go:0016491 - oxidoreductase activity; go:0016788 - hydrolase activity, acting on ester bonds
category16	go:0009405 - pathogenesis; phi:0000333 - plasmid function unknown
category16	Def2
category16	phi:0000192 - thioredoxin
category16	go:0030508 - thiol-disulfide exchange intermediate activity
category16	go:0008800 - beta-lactamase activity; go:0046677 - response to antibiotic
category12	aclame:function:546 - TA family mazEF; phi:0000262 - toxin; phi:0000322 - post-segregational killing
category16	go:0008830 - dTDP-4-dehydrorhamnose 3,5-epimerase activity
category16	methylated-DNA--protein-cysteine methyltransferase
category09	phi:0000096 - phage tail fiber major protein
category01	phi:0000129 - DNA recombination; go:0004530 - deoxyribonuclease I activity
category16	go:0004310 - farnesyl-diphosphate farnesyltransferase activity
category16	go:0016413 - O-acetyltransferase activity
category16	ankyrin repeat-containing prophage LambdaW1
category16	gpF
category16	exodeoxyribonuclease III Xth
category16	phi:0000066 - phage head/capsid major protein
category10	phi:0000127 - transcriptional repressor activity; phi:0000360 - negative regulation of plasmid gene expression
category16	AAA ATPase, central domain protein
category10	phi:0000048 - negative transcriptional regulation of phage gene expression; go:0016564 - transcription repressor activity
category16	gpH
category09	phi:0000068 - phage portal protein; phi:0000082 - phage major tail protein
category09	phi:0000068 - phage portal protein; phi:0000012 - phage head tail joining
category02	go:0006281 - DNA repair
category16	phi:0000010 - phage head/capsid assembly
category16	putative UvrD/Rep family helicase
category16	phosphoribosylaminoimidazole-succinocarboxamide synthase
category16	phi:0000185 - phage head/capsid minor protein
category16	go:0034290 - holin activity
category16	putative integral membrane protein
category16	go:0004156 - dihydropteroate synthase activity; go:0042493 - response to drug
category16	go:0000739 - DNA strand annealing activity; phi:0000129 - DNA recombination
category01	phi:0000129 - DNA recombination; go:0000739 - DNA strand annealing activity
category02	go:0004527 - exonuclease activity; go:0006281 - DNA repair
category16	peptidase S41
category16	go:0045203 - integral to cell outer membrane; go:0015288 - porin activity
category16	dolichyl-phosphate beta-D-mannosyltransferase
category16	polygalacturonase
category16	Glutamate--ammonia ligase
category16	putative ribonuclease HII
category02	phi:0000019 - phage DNA maturation; phi:0000074 - phage terminase small subunit
category16	TalC
category16	putative Metallo-beta-lactamase family protein
category16	go:0008168 - methyltransferase activity; go:0046677 - response to antibiotic
category16	gp109
category08	phi:0000013 - phage release by lysis; go:0034290 - holin activity
category16	go:0008764 - UDP-N-acetylmuramoylalanine-D-glutamate ligase activity
category16	go:0004533 - exoribonuclease H activity
category16	go:0004604 - phosphoadenylyl-sulfate reductase (thioredoxin) activity
category16	phospho-2-dehydro-3-deoxyheptonate aldolase
category16	go:0004132 - dCMP deaminase activity
category16	phi:0000065 - capsid scaffolding protein
category10	phi:0000048 - negative transcriptional regulation of phage gene expression
category16	go:0004519 - endonuclease activity
category16	phi:0000123 - prohead protease activity; phi:0000010 - phage head/capsid assembly; phi:0000065 - capsid scaffolding protein
category16	go:0004797 - thymidine kinase activity
category16	probable DNA hydrolase protein, MutT/nudix protein family
category16	go:0046677 - response to antibiotic; go:0016407 - acetyltransferase activity
category16	Protein serine/threonine phosphatase
category02	go:0006270 - DNA replication initiation; phi:0000268 - plasmid vegetative DNA replication
category16	go:0015616 - DNA translocase activity; aclame:576 - plasmid partitioning protein family ParM
category03	go:0003933 - GTP cyclohydrolase activity
category16	go:0008616 - queuosine biosynthetic process
category16	alginate regulatory protein AlgP
category05	phi:0000184 - transcription factor activity; phi:0000267 - type III protein secretion system complex
category16	putative DNA-binding protein
category16	go:0008236 - serine-type peptidase activity; phi:0000017 - phage prohead/capsid assembly
category16	go:0008236 - serine-type peptidase activity; phi:0000123 - prohead protease activity; phi:0000017 - phage prohead/capsid assembly
category16	phi:0000017 - phage prohead/capsid assembly; go:0008236 - serine-type peptidase activity; phi:0000123 - prohead protease activity
category08	phi:0000103 - endolysin activity; phi:0000013 - phage release by lysis
category16	adenylosuccinate synthase
category16	LemA family protein
category16	go:0050825 - ice binding
category16	go:0051276 - chromosome organization and biogenesis
category16	ORF016
category16	cell wall hydrolase, SleB
category16	Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
category16	3-methyl-2-oxobutanoate hydroxymethyltransferase
category01	aclame:function:499 - IS4 family; phi:0000136 - transpositional DNA recombination
category04	MgtC/SapB transporter
category16	ATPase
category16	glucose-6-phosphate 1-dehydrogenase
category16	KpsF/GutQ family protein
category16	putative glycosyltransferase protein
category16	envelope protein
category16	NAD+ synthase
category16	putative thymidine phosphorylase
category16	putative glutamine amidotransferase
category16	EpsH
category16	go:0000739 - DNA strand annealing activity
category16	glycerol-3-phosphate cytidylyltransferase
category02	go:0006270 - DNA replication initiation; go:0003896 - DNA primase activity; phi:0000271 - intercellular transfer by conjugation
category02	go:0006270 - DNA replication initiation; phi:0000271 - intercellular transfer by conjugation; go:0003896 - DNA primase activity
category02	phi:0000271 - intercellular transfer by conjugation; go:0006270 - DNA replication initiation; go:0003896 - DNA primase activity
category10	phage transcriptional regulator
category16	peptide methionine sulfoxide reductase
category16	gpG
category09	tail protein
category16	BcepGomrgp26
category16	probable adenosylhomocysteinase
category16	DNA or RNA helicase of superfamily II
category16	phi:0000171 - host cell killing activity
category09	phi:0000174 - capsid tail
category09	phi:0000089 - phage tail fiber protein
category16	phi:0000100 - anti repressor activity
category16	phi:0000100 - anti repressor activity; go:0004170 - dUTP diphosphatase activity
category16	putative IS transposase (OrfB)
category04	ABC-type transport system periplasmic phosphate-binding protein (probable substrate phosphate) 2
category16	MutT/NUDIX family hydrolase
category01	phi:0000136 - transpositional DNA recombination; aclame:function:542 - IS607 family
category16	phi:0000187 - capsid structural protein
category16	band 7 protein
category16	Farnesyltranstransferase
category06	phi:0000088 - phage base plate protein; go:0034290 - holin activity
category16	go:0004180 - carboxypeptidase activity
category16	methionine-R-sulfoxide reductase
category16	go:0016671 - oxidoreductase activity, acting on sulfur group of donors, disulfide as acceptor
category16	coproporphyrinogen III oxidase protein
category16	conserved hypothetical bacterial membrane protein
category16	cyanobacterial orotate phosphoribosyltransferase
category16	Glycosyl transferase, group 1
category09	phi:0000011 - phage tail fiber assembly
category16	DNA mismatch endonuclease vsr
category07	phi:0000272 - type IV secretion system coupling protein; phi:0000271 - intercellular transfer by conjugation
category10	phi:0000048 - negative transcriptional regulation of phage gene expression; go:0003700 - transcription factor activity
category07	co-chaperonin GroES
category16	glycosyl transferase, group 2 family protein
category16	gpD
category16	Radical SAM domain protein
category04	go:0005215 - transporter activity; go:0046677 - response to antibiotic
category04	go:0006810 - transport; go:0016021 - integral to membrane
category09	phi:0000004 - phage adsorption; phi:0000087 - phage tail tip protein
category09	phi:0000087 - phage tail tip protein; phi:0000004 - phage adsorption
category16	Phage hypothetical protein
category16	PrmN1
category16	3-dehydroquinate dehydratase
category16	gp153
category16	phi:0000073 - phage terminase large subunit
category09	phi:0000084 - phage tail sheath protein
category16	GTP cyclohydrolase I family protein
category16	Rep protein
category16	Cof-like hydrolase
category16	orf, hypothetical
category16	major head protein
category03	go:0016787 - hydrolase activity; go:0046677 - response to antibiotic
category16	beta-lactamase domain protein
category16	DEAD/DEAH box helicase-like
category16	Methyltransferase type 11
category07	putative metalloprotein chaperonin subunit
category16	go:0016783 - sulfurtransferase activity
category16	phosphatase-related protein
category16	peptidase M19, renal dipeptidase
category16	oxidative cyclase, putative
category16	encapsidation protein
category09	go:0051302 - regulation of cell division; go:0016887 - ATPase activity
category16	IscU protein
category09	phi:0000178 - phage minor tail protein; go:0016298 - lipase activity
category16	possible uncharacterized protein FAD-dependent dehydrogenase
category16	go:0006124 - ferredoxin metabolic process
category16	metal-dependent hydrolase
category16	go:0005102 - receptor binding
category16	ABC-1 domain protein
category16	go:0004146 - dihydrofolate reductase activity
category08	go:0008933 - lytic transglycosylase activity; phi:0000008 - phage DNA translocation
category08	phi:0000008 - phage DNA translocation; go:0008933 - lytic transglycosylase activity
category16	go:0004385 - guanylate kinase activity
category16	upper collar protein
category03	go:0016491 - oxidoreductase activity; go:0046677 - response to antibiotic
category16	gp25
category16	go:0008800 - beta-lactamase activity; go:0042493 - response to drug
category03	Glycosyl hydrolase, BNR repeat
category01	go:0008409 - 5'-3' exonuclease activity; phi:0000130 - homologous DNA recombination
category16	Glutathionylspermidine synthase-like
category10	C - transcriptional-regulation of phage gene expression; go:0003700 - transcription factor activity
category16	spore coat assembly protein SafA
category09	phi:0000068 - phage portal protein
category16	phi:0000017 - phage prohead/capsid assembly; phi:0000123 - prohead protease activity
category16	phi:0000317 - relaxase activity
category16	protein of unknown function UPF0005
category16	putative exported serine protease inhibitor
category16	go:0008821 - crossover junction endodeoxyribonuclease activity
category16	cob(I)alamin adenosyltransferase
category16	go:0000772 - mating pheromone activity; go:0000762 - pheromone-induced unidirectional conjugation
category16	phosphoheptose isomerase
category16	putative RNA-dependent DNA polymerase
category16	go:0003874 - 6-pyruvoyltetrahydropterin synthase activity
category16	septum site-determining protein MinD
category16	go:0009063 - amino acid catabolic process
category01	phi:0000136 - transpositional DNA recombination; aclame:function:541 - IS1380 family; phi:0000153 - DDE-based recombinase activity
category03	O-methyltransferase, family 3
category16	go:0006464 - protein modification process; go:0016407 - acetyltransferase activity
category16	major outer membrane protein
category16	superfamily I DNA/RNA helicase
category16	go:0009307 - DNA restriction-modification system; phi:0000126 - DNA endonuclease activity
category16	phosphoesterase, PAP2 family
category16	go:0019213 - deacetylase activity
category01	phi:0000136 - transpositional DNA recombination
category16	ferritin family protein
category16	heat shock protein Hsp90
category16	possible spore maturation protein
category16	PstS
category08	phi:0000103 - endolysin activity
category16	putative galactokinase/mevalonate kinase
category02	phi:0000026 - phage DNA replication; go:0006270 - DNA replication initiation
category16	DNA-binding stress response protein, Dps family
category16	go:0046690 - response to tellurium ion
category16	go:0016737 - oxidoreductase activity, acting on reduced flavodoxin as donor
category16	Nucleoside diphosphate kinase
category01	phi:0000136 - transpositional DNA recombination; aclame:function:556 - IS5 family; phi:0000153 - DDE-based recombinase activity
category16	yecA family protein
category16	go:0009266 - response to temperature stimulus
category16	go:0009408 - response to heat
category07	phi:0000338 - chaperon activity; go:0009408 - response to heat
category16	phi:0000126 - DNA endonuclease activity
category10	transcriptional regulator, XRE family
category16	possible ppGpp synthetase
category16	Thymidylate kinase
category16	Uracil-DNA glycosylase superfamily
category16	putative 5'-nucleotidase
category16	exonuclease, RNase T and DNA polymerase III
category16	go:0009307 - DNA restriction-modification system; go:0003690 - double-stranded DNA binding
category16	go:0009307 - DNA restriction-modification system; phi:0000109 - DNA binding activity
category16	outer membrane lipoprotein, lipocalin
category16	modification methylase, HemK family
category01	aclame:function:499 - IS4 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
category16	ATPase associated with various cellular activities, AAA_5
category16	go:0018189 - pyrroloquinoline quinone biosynthetic process
category16	nicotinamide-nucleotide adenylyltransferase
category12	phi:0000262 - toxin
category16	gp4
category05	go:0000155 - two-component sensor activity
category03	diadenosine tetraphosphate (Ap4A) hydrolase
category16	Tk.4 conserved hypothetical protein
category16	NLP/P60
category16	conserved domain protein
category16	gp200
category16	N-6 DNA methylase
category01	phi:0000031 - transpositional DNA replication; phi:0000153 - DDE-based recombinase activity
category03	HD superfamily hydrolase
category16	von Willebrand factor, type A
category07	export-related chaperone CsaA
category16	Helix-turn-helix domain protein
category16	purine and other phosphorylases, family 1
category16	Dyp-type peroxidase family
category16	Myo-inositol-1-phosphate synthase
category16	possible sulfurtransferase, rhodanese related
category16	gp052
category01	aclame:function:507 - Tn7 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
category01	phi:0000153 - DDE-based recombinase activity; phi:0000026 - phage DNA replication; phi:0000031 - transpositional DNA replication
category16	Tetratricopeptide TPR_2
category16	AbiK
category01	aclame:function:513 - IS481 family; phi:0000136 - transpositional DNA recombination
category01	aclame:function:513 - IS481 family; phi:0000136 - transpositional DNA recombination; phi:0000153 - DDE-based recombinase activity
category01	phi:0000136 - transpositional DNA recombination; aclame:function:513 - IS481 family; phi:0000153 - DDE-based recombinase activity
category12	aclame:function:545 - TA family higBA; go:0015643 - toxin binding; phi:0000322 - post-segregational killing
category07	putative dnaJ-like chaperone
category16	blue (type1) copper domain-containing protein
category16	PROBABLE TRANSMEMBRANE PROTEIN
category16	go:0045203 - integral to cell outer membrane
category10	transcriptional regulator
category16	phi:0000250 - phage extrusion
category07	phi:0000290 - type III secretion system secretin
category16	SMF family protein
category16	gp165
category01	phi:0000129 - DNA recombination; go:0008296 - 3'-5'-exodeoxyribonuclease activity
category16	major coat protein
category16	permease for cytosine/purines, uracil, thiamine, allantoin
category16	go:0004722 - protein serine/threonine phosphatase activity; go:0008452 - RNA ligase activity
category16	go:0016052 - carbohydrate catabolic process
category16	gpC
category16	gp051
category08	phi:0000017 - phage prohead/capsid assembly; phi:0000008 - phage DNA translocation; go:0008933 - lytic transglycosylase activity; phi:0000179 - phage head/capsid internal protein
category10	go:0010608 - posttranscriptional regulation of gene expression
category16	phi:0000208 - phage spike
category16	putative protein
category04	probable ABC transporter integral membrane protein
category16	go:0031224 - intrinsic to membrane
category16	gp11
category01	phi:0000326 - phage function unknown; aclame:579 - Sak4-like recombinase
category16	Pectate lyase
category01	go:0000739 - DNA strand annealing activity; phi:0000130 - homologous DNA recombination
category16	ORF208
category16	type II DNA modification methyltransferase, putative
category01	aclame:function:498 - IS3 family; phi:0000136 - transpositional DNA recombination
category16	go:0016301 - kinase activity
category09	gp21, tail fiber protein
category01	aclame:581 - RedB-like recombinase
category01	go:0000739 - DNA strand annealing activity; phi:0000130 - homologous DNA recombination; aclame:581 - RedB-like recombinase
category16	phi:0000019 - phage DNA maturation; phi:0000073 - phage terminase large subunit; go:0016887 - ATPase activity
category16	1-aminocyclopropane-1-carboxylate deaminase
category16	go:0044406 - adhesion to host; go:0009405 - pathogenesis
category16	phi:0000052 - phage lysogenic conversion
category16	lower collar protein
category16	ORF001
category09	phi:0000012 - phage head tail joining
category16	zinc metalloproteinase Mpr protein
category16	putative replication protein RepA
category04	putative transport protein, essential for bacteroid development protein
category01	phi:0000130 - homologous DNA recombination; go:0000739 - DNA strand annealing activity; aclame:581 - RedB-like recombinase
category16	putative ATP/GTP-binding protein
category06	go:0009307 - DNA restriction-modification system; go:0004530 - deoxyribonuclease I activity
category16	Hypothetical protein
category16	gp21
category16	phi:0000065 - capsid scaffolding protein; phi:0000017 - phage prohead/capsid assembly
category16	rare lipoprotein A rlpa
category16	adenine-specific DNA methylase containing a Zn-ribbon-like protein
category16	putative glycosyltransferase
category03	aclame:function:326 - 8-oxo-dNDP pyrophosphohydrolase activity (MutT-like)
category16	go:0016824 - hydrolase activity, acting on acid halide bonds
category01	phi:0000129 - DNA recombination
category16	conserved phage protein
category16	gp68
category16	hypothetical bacteriophage protein
category01	aclame:function:501 - IS6 family; phi:0000136 - transpositional DNA recombination; phi:0000153 - DDE-based recombinase activity
category03	Glycosyl hydrolase family 98, putative carbohydrate binding module
category16	gpJ
category16	go:0004040 - amidase activity
category16	go:0000146 - microfilament motor activity; aclame:576 - plasmid partitioning protein family ParM
category16	go:0008253 - 5'-nucleotidase activity
