Family	ACLAME.Function.s.
family:all:9636	unknown
family:all:9635	unknown
family:all:9634	unknown
family:all:9633	Y4jI
family:all:9632	Y4jH
family:all:9631	Y4jF
family:all:9630	Y4pM
family:all:963	aclame:function:514 - IS892 family
family:all:9629	unknown
family:all:9628	putative insertion sequence transposase protein
family:all:9627	unknown
family:all:9626	unknown
family:all:9625	RmpA
family:all:9624	unknown
family:all:9623	putative acetyltransferase
family:all:9622	unknown
family:all:9621	unknown
family:all:9620	Outer membrane protein-like protein
family:all:962	gp43
family:all:9619	unknown
family:all:9618	unknown
family:all:9617	unknown
family:all:9616	unknown
family:all:9615	phi:0000333 - plasmid function unknown
family:all:9614	hypotehtical protein
family:all:9613	homocitrate synthase
family:all:9612	unknown
family:all:9611	unknown
family:all:9610	methylamine dehydrogenase light chain, C terminal domain protein
family:all:961	go:0016564 - transcription repressor activity
family:all:961	phi:0000057 - maintenance of prophage immunity; go:0016564 - transcription repressor activity
family:all:961	phi:0000326 - phage function unknown
family:all:9609	methylamine dehydrogenase accessory protein MauD
family:all:9608	methylamine dehydrogenase heavy chain
family:all:9607	unknown
family:all:9606	phi:0000333 - plasmid function unknown
family:all:9605	unknown
family:all:9604	unknown
family:all:9603	unknown
family:all:9602	unknown
family:all:9601	lipoprotein, putative
family:all:9600	unknown
family:all:960	phi:0000326 - phage function unknown
family:all:96	go:0004386 - helicase activity
family:all:96	go:0003678 - DNA helicase activity
family:all:9599	phi:0000317 - relaxase activity
family:all:9598	unknown
family:all:9597	protein of unknown function DUF1330
family:all:9596	putative tellurium resistance protein
family:all:9595	phi:0000326 - phage function unknown
family:all:9594	unknown
family:all:9593	unknown
family:all:9592	unknown
family:all:9591	putative inner membrane protein
family:all:9590	putative inner membrane protein
family:all:959	phi:0000333 - plasmid function unknown
family:all:9589	unknown
family:all:9588	unknown
family:all:9587	unknown
family:all:9586	unknown
family:all:9585	unknown
family:all:9584	YapH protein
family:all:9583	unknown
family:all:9582	unknown
family:all:9581	unknown
family:all:9580	unknown
family:all:958	phi:0000326 - phage function unknown
family:all:9579	unknown
family:all:9578	unknown
family:all:9577	unknown
family:all:9576	unknown
family:all:9575	unknown
family:all:9574	unknown
family:all:9573	transcriptional regulator
family:all:9572	unknown
family:all:9571	unknown
family:all:9570	unknown
family:all:957	aclame:function:561 - ISAs1 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
family:all:9569	unknown
family:all:9568	unknown
family:all:9567	unknown
family:all:9566	unknown
family:all:9565	unknown
family:all:9564	unknown
family:all:9563	unknown
family:all:9562	unknown
family:all:9561	unknown
family:all:9560	thioesterase family protein
family:all:956	go:0016491 - oxidoreductase activity
family:all:9559	unknown
family:all:9558	unknown
family:all:9557	go:0016407 - acetyltransferase activity
family:all:9556	unknown
family:all:9555	unknown
family:all:9554	unknown
family:all:9553	unknown
family:all:9552	unknown
family:all:9551	unknown
family:all:9550	orfD
family:all:955	polysaccharide biosynthesis protein
family:all:9549	unknown
family:all:9548	unknown
family:all:9547	unknown
family:all:9546	ORF348; homologous to eryA gene product in L07626
family:all:9545	gene V product
family:all:9544	mobilization protein
family:all:9543	putative secreted protein
family:all:9542	hypothetical protein YeeJ
family:all:9541	hypothetical protein YeeJ
family:all:9540	unknown
family:all:954	go:0030401 - transcription antiterminator activity
family:all:9539	unknown
family:all:9538	unknown
family:all:9537	unknown
family:all:9536	Putative transcriptional regulator
family:all:9535	unknown
family:all:9534	go:0008237 - metallopeptidase activity
family:all:9533	ORF120
family:all:9532	unknown
family:all:9531	sigma-B regulator RsbT
family:all:9530	unknown
family:all:953	go:0045449 - regulation of transcription
family:all:953	phi:0000326 - phage function unknown
family:all:9529	unknown
family:all:9528	LinF
family:all:9527	TraN
family:all:9526	unknown
family:all:9525	HYPOTHETICAL LIPOPROTEIN TRANSMEMBRANE
family:all:9524	unknown
family:all:9523	unknown
family:all:9522	unknown
family:all:9521	CopG domain protein DNA-binding domain protein
family:all:9520	PROBABLE TRANSMEMBRANE PROTEIN
family:all:952	go:0003677 - DNA binding
family:all:952	go:0051276 - chromosome organization and biogenesis
family:all:9519	Uncharacterized conserved small protein-like protein
family:all:9518	unknown
family:all:9517	unknown
family:all:9516	unknown
family:all:9515	unknown
family:all:9514	unknown
family:all:9513	unknown
family:all:9512	alanine racemase domain protein
family:all:9511	unknown
family:all:9510	unknown
family:all:951	phi:0000326 - phage function unknown
family:all:951	phi:0000333 - plasmid function unknown
family:all:9509	unknown
family:all:9508	unknown
family:all:9507	unknown
family:all:9506	putative TraG protein
family:all:9505	ORF320
family:all:9504	ORF57
family:all:9503	unknown
family:all:9502	ORF65b
family:all:9501	unknown
family:all:9500	unknown
family:all:950	go:0030163 - protein catabolic process
family:all:95	go:0004009 - ATP-binding cassette (ABC) transporter activity
family:all:9499	unknown
family:all:9498	unknown
family:all:9497	unknown
family:all:9496	unknown
family:all:9495	unknown
family:all:9494	unknown
family:all:9493	unknown
family:all:9492	unknown
family:all:9491	unknown
family:all:9490	unknown
family:all:949	go:0008836 - diaminopimelate decarboxylase activity
family:all:9489	unknown
family:all:9488	unknown
family:all:9487	unknown
family:all:9486	unknown
family:all:9485	unknown
family:all:9484	CbhE protein
family:all:9483	unknown
family:all:9482	unknown
family:all:9481	glutamine transport ATP-binding protein (fragment)
family:all:9480	unknown
family:all:948	phi:0000271 - intercellular transfer by conjugation
family:all:9479	unknown
family:all:9478	3-phosphoglycerate kinase
family:all:9477	putative prepilin type IV pili
family:all:9476	unknown
family:all:9475	unknown
family:all:9474	unknown
family:all:9473	putative phage-type integrase
family:all:9472	unknown
family:all:9471	unknown
family:all:9470	unknown
family:all:947	go:0006796 - phosphate metabolic process
family:all:9469	unknown
family:all:9468	Sea15
family:all:9467	unknown
family:all:9466	PROBABLE RESPIRATORY NITRATE REDUCTASE TRANSMEMBRANE PROTEIN
family:all:9465	PUTATIVE RESPIRATORY NITRATE REDUCTASE OXIDOREDUCTASE PROTEIN
family:all:9464	PROBABLE RESPIRATORY NITRATE REDUCTASE ALPHA CHAIN OXIDOREDUCTASE PROTEIN
family:all:9463	unknown
family:all:9462	[NiFe] hydrogenase (HoxH-specific) C-terminal protease
family:all:9461	unknown
family:all:9460	Pro
family:all:946	go:0015716 - phosphonate transport
family:all:9459	gp25
family:all:9458	Prt
family:all:9457	Tub
family:all:9456	hypothetical protein ORF047
family:all:9455	Hdf
family:all:9454	gp23
family:all:9453	gp22
family:all:9452	gp21
family:all:9451	unknown
family:all:9450	phi:0000143 - tyrosine-based recombinase activity; phi:0000056 - prophage DNA integration
family:all:945	go:0016852 - sirohydrochlorin cobaltochelatase activity
family:all:9449	Bcep22gp44
family:all:9448	conserved hypothetical protein
family:all:9447	BplA
family:all:9446	unknown
family:all:9445	unknown
family:all:9444	type III restriction enzyme, res subunit
family:all:9443	unknown
family:all:9442	unknown
family:all:9441	unknown
family:all:9440	unknown
family:all:944	phi:0000333 - plasmid function unknown
family:all:9439	unknown
family:all:9438	unknown
family:all:9437	YcjA
family:all:9436	unknown
family:all:9435	unknown
family:all:9434	unknown; putative inner membrane protein
family:all:9433	unknown
family:all:9432	unknown
family:all:9431	YpkM
family:all:9430	YpkL
family:all:943	peptide methionine sulfoxide reductase
family:all:9429	YpkJ
family:all:9428	YkwB
family:all:9427	YkwA
family:all:9426	BlsC
family:all:9425	BlsE
family:all:9424	BlsF
family:all:9423	YpkA
family:all:9422	DNA-binding excisionase-like protein
family:all:9421	unknown
family:all:9420	unknown
family:all:942	go:0016787 - hydrolase activity
family:all:9419	Y4wJ
family:all:9418	Y4wI
family:all:9417	unknown
family:all:9416	unknown
family:all:9415	phi:0000013 - phage release by lysis; phi:0000103 - endolysin activity
family:all:9414	putative teichoic acid glycosylation protein
family:all:9413	unknown
family:all:9412	putative transmembrane protein
family:all:9411	unknown
family:all:9410	unknown
family:all:941	putative transcriptional regulator
family:all:9409	unknown
family:all:9408	unknown
family:all:9407	cyanuric acid amidohydrolase
family:all:9406	unknown
family:all:9405	Yga2A
family:all:9404	Yga2C
family:all:9403	unknown
family:all:9402	putative TetR family receptor protein
family:all:9401	unknown
family:all:9400	unknown
family:all:940	phi:0000326 - phage function unknown
family:all:94	go:0046527 - glucosyltransferase activity
family:all:9399	outer membrane porin
family:all:9398	likely secreted protein containing plastocyanin domain
family:all:9397	unknown
family:all:9396	unknown
family:all:9395	unknown
family:all:9394	protein of unknown function DUF664
family:all:9393	putative SpnT protein
family:all:9392	Orf34
family:all:9391	unknown
family:all:9390	BFD/(2Fe-2S)-binding domain-containing protein
family:all:939	go:0005215 - transporter activity
family:all:9389	unknown
family:all:9388	comserved hypothetical protein
family:all:9387	unknown
family:all:9386	unknown
family:all:9385	membrane protein-like
family:all:9384	Protein of unknown function DUF11
family:all:9383	unknown
family:all:9382	unknown
family:all:9381	unknown
family:all:9380	PROBABLE DIHYDRONEOPTERIN ALDOLASE PROTEIN
family:all:938	go:0016787 - hydrolase activity
family:all:9379	putative aminopeptidase
family:all:9378	unknown
family:all:9377	unknown
family:all:9376	NERD domain protein
family:all:9375	phi:0000333 - plasmid function unknown
family:all:9374	IS1381, transposase orfA
family:all:9373	putative ABC transport system permease
family:all:9372	unknown
family:all:9371	unknown
family:all:9370	initiator RepB protein
family:all:937	phi:0000333 - plasmid function unknown
family:all:9369	unknown
family:all:9368	unknown
family:all:9367	unknown
family:all:9366	unknown
family:all:9365	Methionine adenosyltransferase
family:all:9364	unknown
family:all:9363	Acetyl xylan esterase
family:all:9362	unknown
family:all:9361	unknown
family:all:9360	unknown
family:all:936	go:0005215 - transporter activity
family:all:9359	unknown
family:all:9358	unknown
family:all:9357	unknown
family:all:9356	Phasin
family:all:9355	Membrane protein
family:all:9354	unknown
family:all:9353	4-oxalocrotonate tautomerase
family:all:9352	Hypothetical protein, CF-45 family
family:all:9351	Metal-dependent phosphohydrolase, HD subdomain
family:all:9350	unknown
family:all:935	protein of unknown function DUF411
family:all:9349	Helix-turn-helix motif
family:all:9348	unknown
family:all:9347	Membrane protein
family:all:9346	unknown
family:all:9345	unknown
family:all:9344	Xylose isomerase domain protein TIM barrel
family:all:9343	hypothetical membrane-anchored protein
family:all:9342	putative ATPGTP-binding protein
family:all:9341	PHP domain protein
family:all:9340	unknown
family:all:934	cytochrome c family protein
family:all:9339	Saccharopine dehydrogenase
family:all:9338	protein of unknown function DUF752
family:all:9337	conserved hypothetical membrane-anchored protein
family:all:9336	unknown
family:all:9335	putative peptidase, similar to arginine utilization protein RocB
family:all:9334	Phytanoyl-CoA dioxygenase
family:all:9333	unknown
family:all:9332	metallophosphoesterase
family:all:9331	unknown
family:all:9330	methylated-DNA--protein-cysteine methyltransferase
family:all:933	go:0045020 - error-prone DNA repair
family:all:9329	Solo B3/4 domain (OB-fold DNA/RNA-binding) of Phe-aaRS-beta
family:all:9328	conserved hypothetical exported protein precursor
family:all:9327	unknown
family:all:9326	unknown
family:all:9325	unknown
family:all:9324	putative protein, probably exported to periplasma
family:all:9323	putative membrane-anchored protein
family:all:9322	transcriptional activator of exopolysaccharide II synthesis, MarR family protein
family:all:9321	protein of unknown function DUF930
family:all:9320	alpha-amylase
family:all:932	transposase, IS4 family protein
family:all:9319	Methyltransferase type 11
family:all:9318	putative membrane-anchored protein
family:all:9317	unknown
family:all:9316	protein of unknown function DUF937
family:all:9315	unknown
family:all:9314	unknown
family:all:9313	unknown
family:all:9312	unknown
family:all:9311	unknown
family:all:9310	unknown
family:all:931	Conserved hypothetical protein 2293
family:all:9309	protein of unknown function DUF23
family:all:9308	alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen
family:all:9307	probable 3-deoxy-manno-octulosonate cytidylyltransferase (CMP KDO transferase) protein
family:all:9306	putative glycosyltransferase protein
family:all:9305	unknown
family:all:9304	unknown
family:all:9303	conserved hypothetical protein, possibly membrane-anchored
family:all:9302	unknown
family:all:9301	unknown
family:all:9300	unknown
family:all:930	phi:0000303 - plasmid partitioning
family:all:93	phi:0000088 - phage base plate protein
family:all:9299	unknown
family:all:9298	unknown
family:all:9297	Myo-inositol-1-phosphate synthase
family:all:9296	unknown
family:all:9295	unknown
family:all:9294	unknown
family:all:9293	Fructose-bisphosphate aldolase class I
family:all:9292	unknown
family:all:9291	unknown
family:all:9290	unknown
family:all:929	phi:0000333 - plasmid function unknown
family:all:9289	unknown
family:all:9288	unknown
family:all:9287	putative ABC transporter periplasmic solute-binding protein
family:all:9286	hypothetical nucleotide-binding protein
family:all:9285	hypothetical membrane protein
family:all:9284	unknown
family:all:9283	unknown
family:all:9282	unknown
family:all:9281	unknown
family:all:9280	unknown
family:all:928	membrane-bound metal-dependent hydrolase
family:all:9279	Xylanase, glycosyl hydrolase family 10
family:all:9278	protein of unknown function DUF922
family:all:9277	unknown
family:all:9276	phosphoribosyltransferase
family:all:9275	unknown
family:all:9274	protein of unknown function DUF404
family:all:9273	protein of unknown function DUF403
family:all:9272	protein of unknown function DUF1238
family:all:9271	unknown
family:all:9270	Uncharacterized conserved protein, YCII family
family:all:927	go:0016491 - oxidoreductase activity
family:all:9269	GcrA cell cycle regulator
family:all:9268	unknown
family:all:9267	unknown
family:all:9266	putative nutrient deprivation-induced protein
family:all:9265	unknown
family:all:9264	hypothetical membrane protein
family:all:9263	putative protein, slightly similar to carbohydrate deacetylase
family:all:9262	unknown
family:all:9261	unknown
family:all:9260	putative glucosyltransferase protein
family:all:926	phi:0000354 - genome segregation
family:all:9259	succinyltransferase protein
family:all:9258	unknown
family:all:9257	NADH (or F420H2) dehydrogenase, subunit C
family:all:9256	unknown
family:all:9255	unknown
family:all:9254	unknown
family:all:9253	unknown
family:all:9252	unknown
family:all:9251	hypothetical membrane protein
family:all:9250	Xylose isomerase domain protein TIM barrel
family:all:925	phi:0000333 - plasmid function unknown
family:all:9249	unknown
family:all:9248	unknown
family:all:9247	putative cellulase H precursor protein
family:all:9246	unknown
family:all:9245	domain of unknown function DUF1745
family:all:9244	unknown
family:all:9243	unknown
family:all:9242	unknown
family:all:9241	putative sulfotransferase protein
family:all:9240	unknown
family:all:924	phi:0000277 - type IV secretion system motor; phi:0000271 - intercellular transfer by conjugation
family:all:9239	Pediocin immunity protein, PedB
family:all:9238	HI0933 family protein
family:all:9237	protein of unknown function DUF955
family:all:9236	unknown
family:all:9235	unknown
family:all:9234	unknown
family:all:9233	unknown
family:all:9232	unknown
family:all:9231	unknown
family:all:9230	hypothetical membrane protein
family:all:923	phi:0000336 - plasmid mediated modulation of host functions
family:all:9229	unknown
family:all:9228	unknown
family:all:9227	unknown
family:all:9226	unknown
family:all:9225	unknown
family:all:9224	Glutathione synthase
family:all:9223	protein of unknown function DUF1704
family:all:9222	unknown
family:all:9221	protein of unknown function DUF454
family:all:9220	unknown
family:all:922	phi:0000267 - type III protein secretion system complex; go:0043462 - regulation of ATPase activity
family:all:9219	INTERPRO: probable CcdB protein, possible toxin of addiction system
family:all:9218	unknown
family:all:9217	unknown
family:all:9216	ArmA
family:all:9215	transcriptional regulator, LuxR family
family:all:9214	unknown
family:all:9213	unknown
family:all:9212	unknown
family:all:9211	unknown
family:all:9210	unknown
family:all:921	putative transcriptional regulator
family:all:9209	unknown
family:all:9208	unknown
family:all:9207	unknown
family:all:9206	unknown
family:all:9205	PROBABLE HYDROXYLASE PROTEIN
family:all:9204	unknown
family:all:9203	unknown
family:all:9202	unknown
family:all:9201	unknown
family:all:9200	unknown
